es,guh
"Bueno, siga.",Je
Rápido.,Naxatsiayo
Pueden salir.,Papitsapaename
Vamos a jugar.,Namuxusitsianatsi
No. (respuesta a una pregunta),Jume
Sí. (respuesta a una pregunta),Jaja
Bueno; bien. (respuesta a una orden y a muchas declaraciones),Je
¿Sí? ¿Verdad? (respuesta a información ofrecida en la conversación),¿Jai?
¿Qué? (respuesta cuando alguien lo llama a uno por nombre),Jo / Ju / Jui
"¿Qué?; ¿Cómo? (pregunta, cuando no se oye bien)",¿Dëra xua? / ¿De xua?
Tengo hambre.,Tajani
El/ella tiene hambre./Ellos tienen hambre.,Pijani
Tengo frío.,Aquënë
Tengo calor.,Atajunë
Quiero dormir.,Jitsipajë tamajitsijawa
Voy a orinar.,Naraejitsianë
¿Dónde siempre matan el tigre (defecan)? / ¿Dónde siempre defecan?,Dëtsa jota newëthë pabeyabiabame / Dëtsa jota panajematabiabame
Voy a matar un tigre. / Voy a defecar.,Newëthë bejitsianë / Najematabajë
Voy a traer agua.,Mëra puatsijitsianë
Tengo dolor de cabeza.,Amatatanenë
Tengo dolor de muela.,Awonotanenë
Estoy cansado.,Cuëranajë
Tengo fiebre.,Neromaeba
Tengo sueño.,Itamajitsipanajë
Voy a dormir.,Majitsijitsianë
Estoy lavando mi ropa. / Lavé mi ropa.,Tajaëse quiatajë
Estoy lavándome las manos. / Me lavé las manos.,Nacobequiatajë
Voy a bañarme.,Nawaejitsianë
¡Venga!; ¡Apúrese!,Naxatsia
¡Cuidado!,Xania
¡Ay! / ¡Ay ay ay! (sorpresa),Jaipe
¡Ay ay ay! (dolor),Jaque
¡Mire!,Taema / Nataema
¡Tenga!,Aja
¡No moleste! (¡Deje de hacerlo!),Itonopae
Es bueno. (Gracias.),Xanepana
Estoy feliz.,Barëyanë
Muéstremelo.,Netsitajëtsianame
Va a llover.,Emajitsia
¿Quién sabe?; No sé.,Itsabo
No sé.,Apoyapëtaenë
¿Me entiende/entendió?,Nejumetaneme
Sí. Le entiendo/entendí.,Jaja. Cajumetanetsi.
Diga (tal cosa).,"______, jamëre."
¿Durmió (Ud.) bien?,Xaniawaetsia majitame
Sí. Dormí bien.,Jaja. Xaniawaetsia majitajë.
Duerma bien.,Xaniawaetsia majitsianame
